stationcode,is_empty
48011,100.0
15059,100.0
13101,100.0
92004,100.0
15018,100.0
16202,100.0
11104,100.0
16019,100.0
9027,100.0
8103,100.0
8027,100.0
5106,100.0
2201,100.0
10207,100.0
9007,100.0
8116,100.0
9117,100.0
8011,100.0
9118,100.0
4201,100.0
