stationcode,name,arrdt,lat,lon,ts_hour,bikes_mean,bikes_median,docks_mean
13106,Bobillot - Paulin Mery,Paris,48.829899841747,2.3543356766749,2025-08-20 15:00:00+00:00,4.0,4.0,18.0
13109,Brillat-Savarin - Küss,Paris,48.822203,2.350422,2025-08-20 15:00:00+00:00,13.0,13.0,8.0
13110,Moulin de la Pointe,Paris,48.82092946051445,2.3563179373741145,2025-08-20 15:00:00+00:00,3.0,3.0,19.0
13113,Vistule - Choisy,Paris,48.82365543660611,2.3615723848342896,2025-08-20 15:00:00+00:00,7.0,7.0,25.0
13114,Nationale - Marcel Duchamp,Paris,48.82463749337136,2.3678014799952507,2025-08-20 15:00:00+00:00,4.0,4.0,19.0
13116,Place du Docteur Yersin,Paris,48.82010494991975,2.3725583776831627,2025-08-20 15:00:00+00:00,15.0,15.0,35.0
13117,Stade Georges Carpentier,Paris,48.820482438381,2.3668321967125,2025-08-20 15:00:00+00:00,10.0,10.0,29.0
13118,Regnault - Patay,Paris,48.82435782216384,2.377065159380436,2025-08-20 15:00:00+00:00,61.0,61.0,2.0
13120,Pierre Joseph Desault,Paris,48.82110230800372,2.378775402903557,2025-08-20 15:00:00+00:00,19.0,19.0,0.0
13121,Bruneseau - Quai d'Ivry,Ivry-sur-Seine,48.824945637583,2.3885661363602,2025-08-20 15:00:00+00:00,35.0,35.0,10.0
13123,BNF - Bibliothèque Nationale de France,Paris,48.8350268238,2.3760157451034,2025-08-20 15:00:00+00:00,51.0,51.0,1.0
13125,Gare d'Austerlitz - Pont Charles de Gaulle,Paris,48.842319830109,2.3670300096273,2025-08-20 15:00:00+00:00,24.0,24.0,31.0
13126,Place Nationale - Château-des-Rentiers,Paris,48.829268,2.365212,2025-08-20 15:00:00+00:00,8.0,8.0,9.0
13128,Quai de la Gare - Pont de Bercy,Paris,48.83730787972,2.3740861260598,2025-08-20 15:00:00+00:00,29.0,29.0,1.0
13202,Place Farhat Hached,Paris,48.825487045602,2.3816306985827,2025-08-20 15:00:00+00:00,11.0,11.0,17.0
13203,Square de Choisy - Eastman,Paris,48.828543456283,2.3583075090494,2025-08-20 15:00:00+00:00,4.0,4.0,20.0
13204,Tolbiac - Boussingault,Paris,48.826177754027,2.3420378552202,2025-08-20 15:00:00+00:00,12.0,12.0,28.0
13205,Choisy - Pointe d'Ivry,Paris,48.822154170359,2.3633708034878,2025-08-20 15:00:00+00:00,6.0,6.0,18.0
13515,Auguste Blanqui - Glacière,Paris,48.831151602964,2.343822196126,2025-08-20 15:00:00+00:00,19.0,19.0,40.0
13516,Glacière - Soeur Catherine Marie,Paris,48.8295229894206,2.343570403754711,2025-08-20 15:00:00+00:00,39.0,39.0,1.0
14001,Edgar Quinet - Gaité,Paris,48.841160928966,2.324595451355,2025-08-20 15:00:00+00:00,14.0,14.0,13.0
14002,Edgar Quinet - Raspail,Paris,48.83940266673835,2.32971478253603,2025-08-20 15:00:00+00:00,12.0,12.0,34.0
14003,Schoelcher - Raspail,Paris,48.83681733526843,2.3312794080411474,2025-08-20 15:00:00+00:00,5.0,5.0,45.0
14004,Port Royal - Hôpital Cochin,Paris,48.838608030238,2.3406994164846,2025-08-20 15:00:00+00:00,4.0,4.0,19.0
14005,René Coty - Place Denfert-Rochereau,Paris,48.833056477316,2.3329411447048,2025-08-20 15:00:00+00:00,3.0,3.0,33.0
14006,Saint-Jacques - Tombe Issoire,Paris,48.833206330538864,2.33691081404686,2025-08-20 15:00:00+00:00,1.0,1.0,22.0
14007,Ferrus - Saint-Jacques,Paris,48.8313878,2.3408563,2025-08-20 15:00:00+00:00,5.0,5.0,29.0
14008,Mouton Duvernet - Général Leclerc,Paris,48.831632518293,2.3293121159077,2025-08-20 15:00:00+00:00,9.0,9.0,18.0
14009,Tombe Issoire - René Coty,Paris,48.830512876709,2.3343613743782,2025-08-20 15:00:00+00:00,0.0,0.0,36.0
14010,Jean Moulin - Place Victor et Hélène Basch,Paris,48.82764910241,2.3261967301369,2025-08-20 15:00:00+00:00,10.0,10.0,31.0
14011,Place des Droits de l'Enfant,Paris,48.8274804,2.3319217,2025-08-20 15:00:00+00:00,4.0,4.0,35.0
14012,Sibelle - Alésia,Paris,48.826701758539215,2.3384983465075493,2025-08-20 15:00:00+00:00,0.0,0.0,37.0
14013,Liard - Amiral Mouchez,Paris,48.8214169,2.342167,2025-08-20 15:00:00+00:00,3.0,3.0,24.0
14014,Jourdan - Stade Charléty,Paris,48.819428333369,2.3433353751898,2025-08-20 15:00:00+00:00,7.0,7.0,52.0
14016,René Coty - Parc Montsouris,Paris,48.82479134498032,2.336124926805496,2025-08-20 15:00:00+00:00,4.0,4.0,51.0
14018,Porte d'Orléans,Paris,48.8227639,2.3249313,2025-08-20 15:00:00+00:00,12.0,12.0,34.0
14019,Sarrette - Général Leclerc,Paris,48.825030852925,2.3264128693982,2025-08-20 15:00:00+00:00,5.0,5.0,17.0
14020,Cimetière de Montrouge,Paris,48.821466904768,2.3215785772007,2025-08-20 15:00:00+00:00,13.0,13.0,45.0
14021,Place de la Porte de Châtillon,Paris,48.8242469,2.3186306,2025-08-20 15:00:00+00:00,12.0,12.0,47.0
14022,Didot - Mariniers,Paris,48.82650543613106,2.313136198271666,2025-08-20 15:00:00+00:00,2.0,2.0,33.0
14023,Adolphe Pinard - Victor Hugo,Malakoff,48.8236825874564,2.3077843710780144,2025-08-20 15:00:00+00:00,1.0,1.0,51.0
14025,Jacquier - Didot,Paris,48.82953336292279,2.318179272115231,2025-08-20 15:00:00+00:00,2.0,2.0,28.0
14026,Plantes - Moulin Vert,Paris,48.83005755305626,2.3232302069664006,2025-08-20 15:00:00+00:00,5.0,5.0,40.0
14027,Gergovie - Alésia,Paris,48.83088717455243,2.318882101207347,2025-08-20 15:00:00+00:00,4.0,4.0,50.0
14030,Pernety - Raymond Losserand,Paris,48.834254627953,2.317609339387,2025-08-20 15:00:00+00:00,4.0,4.0,27.0
14031,Didot - Place de Moro-Giafferi,Paris,48.8337,2.3215,2025-08-20 15:00:00+00:00,5.0,5.0,17.0
14032,Mairie du 14ème,Paris,48.83254578123,2.3254923149943,2025-08-20 15:00:00+00:00,3.0,3.0,28.0
14034,Ouest - Château,Paris,48.83617286014242,2.319392143923804,2025-08-20 15:00:00+00:00,2.0,2.0,19.0
14035,Maine - Jean Zay,Paris,48.837925263898,2.3225428909063,2025-08-20 15:00:00+00:00,9.0,9.0,40.0
14036,Boulard - Daguerre,Paris,48.83446472680611,2.3293386027216907,2025-08-20 15:00:00+00:00,4.0,4.0,41.0
14101,Gare Montparnasse - Edgar Quinet,Paris,48.841487851079,2.3233232282801,2025-08-20 15:00:00+00:00,17.0,17.0,16.0
14103,Maine - Liancourt,Paris,48.835064363954,2.323731449974,2025-08-20 15:00:00+00:00,2.0,2.0,25.0
14104,Boyer-Barret - Raymond Losserand,Paris,48.83329880233322,2.3173383995890617,2025-08-20 15:00:00+00:00,3.0,3.0,20.0
14106,Marc Sangnier - Porte de Vanves,Paris,48.825218683556734,2.3107116669416428,2025-08-20 15:00:00+00:00,4.0,4.0,17.0
14108,Le Brix et Mesmin - Jourdan,Paris,48.82234096593411,2.327861653302471,2025-08-20 15:00:00+00:00,1.0,1.0,20.0
14110,Abbé Carton - Plantes,Paris,48.827673823166,2.3209181427956,2025-08-20 15:00:00+00:00,4.0,4.0,21.0
14111,Cassini - Denfert-Rochereau,Paris,48.837525839067,2.3360354080796,2025-08-20 15:00:00+00:00,3.0,3.0,22.0
14112,Méchain - Faubourg Saint-Jacques,Paris,48.83586772099485,2.33798034198275,2025-08-20 15:00:00+00:00,1.0,1.0,15.0
14113,Santé - Arago,Paris,48.83507657562064,2.3415737262044938,2025-08-20 15:00:00+00:00,5.0,5.0,33.0
14116,Romain Rolland,Montrouge,48.820215229662765,2.3234144234418346,2025-08-20 15:00:00+00:00,3.0,3.0,22.0
14122,Colonel Monteil - Brune,Paris,48.82650293311,2.3092747998272,2025-08-20 15:00:00+00:00,3.0,3.0,16.0
14124,David Weill - Parc Montsouris,Paris,48.8210923742561,2.333725690841675,2025-08-20 15:00:00+00:00,1.0,1.0,21.0
14125,Dareau - Broussais,Paris,48.8307758,2.3361804,2025-08-20 15:00:00+00:00,5.0,5.0,19.0
14127,Odessa - Départ,Paris,48.842885590081,2.3244281485677,2025-08-20 15:00:00+00:00,12.0,12.0,27.0
14128,Gergovie - Vercingétorix,Paris,48.83453413883994,2.313154547426182,2025-08-20 15:00:00+00:00,1.0,1.0,28.0
14130,Jonquoy - Didot,Paris,48.82890454823947,2.31648076325655,2025-08-20 15:00:00+00:00,2.0,2.0,28.0
14131,Jourdan - Monticelli,Paris,48.822032,2.329095,2025-08-20 15:00:00+00:00,3.0,3.0,27.0
14132,Bézout - Général Leclerc,Paris,48.82884804502439,2.3285973072052,2025-08-20 15:00:00+00:00,4.0,4.0,26.0
14133,Froidevaux - Boulard,Paris,48.835147319625,2.3294411972165,2025-08-20 15:00:00+00:00,3.0,3.0,32.0
14135,Jourdan - Cité Universitaire,Paris,48.81989734315668,2.339700796412437,2025-08-20 15:00:00+00:00,7.0,7.0,31.0
14136,Auguste Cain - Jean Moulin,Paris,48.82577028927573,2.321041524410248,2025-08-20 15:00:00+00:00,12.0,12.0,28.0
14137,Maurice d'Ocagne - General Maudhuy,Paris,48.82414282524159,2.3158789426088333,2025-08-20 15:00:00+00:00,10.0,10.0,20.0
14138,Porte de Vanves,Paris,48.828012849445,2.3056878894567,2025-08-20 15:00:00+00:00,3.0,3.0,29.0
14139,Pierre Larousse - Raymond Losserand,Paris,48.83059564231877,2.3119183257222176,2025-08-20 15:00:00+00:00,2.0,2.0,27.0
14201,Decrès - Alésia,Paris,48.832200060759,2.3139070151575,2025-08-20 15:00:00+00:00,4.0,4.0,25.0
15001,Gare Montparnasse - Arrivée,Paris,48.843827994315,2.3225811123848,2025-08-20 15:00:00+00:00,21.0,21.0,22.0
15002,Maine - Antoine Bourdelle,Paris,48.84308531746595,2.320263946784738,2025-08-20 15:00:00+00:00,2.0,2.0,15.0
15003,Gare Montparnasse - Vaugirard,Paris,48.8418071798797,2.31951002690117,2025-08-20 15:00:00+00:00,11.0,11.0,54.0
15004,Vaugirard - Pasteur,Paris,48.84040868803496,2.315436713397504,2025-08-20 15:00:00+00:00,8.0,8.0,13.0
15005,Place Jacques et Thérèse Tréfouël,Paris,48.842726498317,2.3125657439232,2025-08-20 15:00:00+00:00,11.0,11.0,32.0
15006,Cherche-Midi - Hôpital Necker,Paris,48.84461063309956,2.317914068698883,2025-08-20 15:00:00+00:00,18.0,18.0,20.0
15008,Sèvres - Lecourbe,Paris,48.8447677,2.3110086,2025-08-20 15:00:00+00:00,15.0,15.0,47.0
15009,Suffren - Pérignon,Paris,48.84717561492764,2.307052147596786,2025-08-20 15:00:00+00:00,31.0,31.0,15.0
15010,Square Cambronne,Paris,48.84756654526,2.3025691509247,2025-08-20 15:00:00+00:00,17.0,17.0,12.0
15011,Cambronne - Villa Croix Nivert,Paris,48.845847561366,2.3017574474216,2025-08-20 15:00:00+00:00,25.0,25.0,37.0
15012,Cambronne - Mademoiselle,Paris,48.843277330035214,2.30230766886348,2025-08-20 15:00:00+00:00,32.0,32.0,35.0
15013,Volontaires - Lecourbe,Paris,48.84351378799,2.3065522313118,2025-08-20 15:00:00+00:00,9.0,9.0,22.0
15014,Volontaires - Vaugirard,Paris,48.84132050184004,2.30808901725357,2025-08-20 15:00:00+00:00,26.0,26.0,8.0
15017,Place Falguière,Paris,48.83629973941847,2.3104464635252957,2025-08-20 15:00:00+00:00,6.0,6.0,16.0
15018,Dutot - Place Alleray,Paris,48.836826091766,2.3071701095578,2025-08-20 15:00:00+00:00,1.0,1.0,55.0
15019,Paul Barruel - Vaugirard,Paris,48.84014918546239,2.3044332861900334,2025-08-20 15:00:00+00:00,3.0,3.0,33.0
15020,Mairie du 15ème,Paris,48.8417762,2.2986539,2025-08-20 15:00:00+00:00,9.0,9.0,23.0
15021,Joseph Liouville - Croix Nivert,Paris,48.844835471244416,2.297508493065834,2025-08-20 15:00:00+00:00,40.0,40.0,24.0
15022,Emile Zola - Fondary,Paris,48.84705114311375,2.295340597629548,2025-08-20 15:00:00+00:00,27.0,27.0,14.0
15023,La Motte-Picquet - Grenelle,Paris,48.84858321339195,2.299347817897797,2025-08-20 15:00:00+00:00,34.0,34.0,0.0
15024,Suffren - La Motte-Piquet,Paris,48.850881230919,2.3012199997902,2025-08-20 15:00:00+00:00,12.0,12.0,10.0
15025,Dupleix - du Guesclin,Paris,48.85147910413369,2.296709530055523,2025-08-20 15:00:00+00:00,43.0,43.0,4.0
15026,Bir Hakeim,Paris,48.853844054334,2.289705348222,2025-08-20 15:00:00+00:00,30.0,30.0,1.0
15027,Duhamel - André Gide,Paris,48.8365662244334,2.312707121097412,2025-08-20 15:00:00+00:00,1.0,1.0,19.0
15028,Grenelle - Dr Finlay,Paris,48.851315406715976,2.291950285434724,2025-08-20 15:00:00+00:00,66.0,66.0,3.0
15029,Emeriau - Place de Brazzaville,Paris,48.85078526167496,2.2871585190296173,2025-08-20 15:00:00+00:00,48.0,48.0,1.0
15030,Emeriau - Beaugrenelle,Paris,48.84791249714942,2.2843059897422795,2025-08-20 15:00:00+00:00,67.0,67.0,5.0
15031,Théâtre - Lourmel,Paris,48.8482070397636,2.2898658737540245,2025-08-20 15:00:00+00:00,25.0,25.0,27.0
15032,Félix Faure - Lourmel,Paris,48.83868901709515,2.2818081825971603,2025-08-20 15:00:00+00:00,43.0,43.0,15.0
15033,Place Violet,Paris,48.84487893836502,2.2905756533145905,2025-08-20 15:00:00+00:00,17.0,17.0,11.0
15034,Lakanal - Commerce,Paris,48.84442462786544,2.294059172272682,2025-08-20 15:00:00+00:00,15.0,15.0,37.0
15035,Place Etienne Pernet,Paris,48.84243457133779,2.2921819612383847,2025-08-20 15:00:00+00:00,25.0,25.0,17.0
15038,Place Adolphe Cherioux - Vaugirard,Paris,48.83959442800459,2.3010657727718358,2025-08-20 15:00:00+00:00,5.0,5.0,56.0
15039,Abbé Groult - Convention,Paris,48.83596927866069,2.302064039509349,2025-08-20 15:00:00+00:00,0.0,0.0,12.0
15040,Saint-Amand - Labrouste,Paris,48.834097274832295,2.3087677359581,2025-08-20 15:00:00+00:00,10.0,10.0,26.0
15041,Franquet - Labrouste,Paris,48.83287705011431,2.306762784719467,2025-08-20 15:00:00+00:00,2.0,2.0,35.0
15042,Henry Farman,Paris,48.83372430280548,2.271385453641414,2025-08-20 15:00:00+00:00,13.0,13.0,3.0
15043,Brancion - Lefebvre,Paris,48.82900222785569,2.301431038163409,2025-08-20 15:00:00+00:00,3.0,3.0,8.0
15044,Dantzig - Lefebvre,Paris,48.83013921586756,2.295934036374092,2025-08-20 15:00:00+00:00,1.0,1.0,31.0
15045,Porte de la Plaine,Paris,48.82805169605981,2.2924277186393742,2025-08-20 15:00:00+00:00,1.0,1.0,34.0
15046,Parc Georges Brassens - Brancion,Paris,48.83227829269761,2.3022570088505745,2025-08-20 15:00:00+00:00,1.0,1.0,27.0
15047,Morillons - Dantzig,Paris,48.83310149953933,2.299380004405976,2025-08-20 15:00:00+00:00,2.0,2.0,50.0
15050,Dominique Pado - Croix Nivert,Paris,48.83648798164934,2.289725057780742,2025-08-20 15:00:00+00:00,8.0,8.0,14.0
15052,Convention - Vaugirard,Paris,48.83767682233156,2.295586926020252,2025-08-20 15:00:00+00:00,7.0,7.0,41.0
15053,Lecourbe - Convention,Paris,48.83923319241899,2.2915197908878326,2025-08-20 15:00:00+00:00,8.0,8.0,38.0
15054,Lecourbe - Jean Maridor,Paris,48.83796366147599,2.2877392172813416,2025-08-20 15:00:00+00:00,9.0,9.0,10.0
15055,Vasco de Gama,Paris,48.83671783466264,2.283664085650799,2025-08-20 15:00:00+00:00,41.0,41.0,13.0
15056,Place Balard,Paris,48.836395736424,2.2784192115068,2025-08-20 15:00:00+00:00,28.0,28.0,2.0
15057,Lucien Bossoutrot - Général Martial Vallin,Paris,48.836956046311,2.2741072252393,2025-08-20 15:00:00+00:00,24.0,24.0,15.0
15058,Place du Moulin de Javel,Paris,48.84021670922,2.2716060653329,2025-08-20 15:00:00+00:00,42.0,42.0,12.0
15059,Parc André Citroën,Paris,48.840639944297,2.2780618071556,2025-08-20 15:00:00+00:00,0.0,0.0,49.0
15060,Place de la Montagne du Goulet,Paris,48.8443415,2.2773844,2025-08-20 15:00:00+00:00,20.0,20.0,0.0
15061,Square Desnouettes,Paris,48.83476837934194,2.284142297394666,2025-08-20 15:00:00+00:00,12.0,12.0,10.0
15062,Convention - Lourmel,Paris,48.842055041656,2.2859910875559,2025-08-20 15:00:00+00:00,9.0,9.0,27.0
15063,Convention - Saint-Charles,Paris,48.843156111116,2.2831090539694,2025-08-20 15:00:00+00:00,20.0,20.0,2.0
15064,Javel - André Citroën,Paris,48.846276485475,2.2786368057132,2025-08-20 15:00:00+00:00,35.0,35.0,9.0
15067,Desaix - Edgar Faure,Paris,48.852804604940296,2.293077029857222,2025-08-20 15:00:00+00:00,10.0,10.0,2.0
15068,Général Martial Valin - Pont du Garigliano,Paris,48.83823094269141,2.270506024360657,2025-08-20 15:00:00+00:00,4.0,4.0,12.0
15069,Félix Faure - Convention,Paris,48.841249336041,2.2883866008495,2025-08-20 15:00:00+00:00,17.0,17.0,25.0
15070,Balard - Montagne de la Fage,Paris,48.838507403334,2.2782871127129,2025-08-20 15:00:00+00:00,31.0,31.0,5.0
15071,Suffren - Champ de Mars,Paris,48.8547194,2.2952168,2025-08-20 15:00:00+00:00,22.0,22.0,0.0
15072,Place Fernand Forest,Paris,48.849269143836,2.281863167882,2025-08-20 15:00:00+00:00,33.0,33.0,0.0
15103,Cauchy - Cévennes,Paris,48.843372571022,2.2751328349113,2025-08-20 15:00:00+00:00,51.0,51.0,0.0
15104,Hôpital Européen Georges Pompidou,Paris,48.837695319163,2.2753742337227,2025-08-20 15:00:00+00:00,55.0,55.0,9.0
15105,Fédération - Suffren,Paris,48.852828153442,2.2978776320815,2025-08-20 15:00:00+00:00,21.0,21.0,4.0
15106,Grenelle - Violet,Paris,48.84993035512154,2.294612042605877,2025-08-20 15:00:00+00:00,32.0,32.0,3.0
15107,Palais des Sports,Paris,48.833468517426,2.2858720645308,2025-08-20 15:00:00+00:00,10.0,10.0,12.0
15108,Lourmel - Marie Skobtsov,Paris,48.844974,2.287283,2025-08-20 15:00:00+00:00,21.0,21.0,0.0
15109,Cevennes - Bergers,Paris,48.84240765130395,2.281037718057633,2025-08-20 15:00:00+00:00,25.0,25.0,3.0
15110,Place Robert Guillemard,Paris,48.836191728066666,2.2811267160086417,2025-08-20 15:00:00+00:00,21.0,21.0,3.0
15111,Olivier de Serres - Leriche,Paris,48.83460221715206,2.2957482933998112,2025-08-20 15:00:00+00:00,1.0,1.0,24.0
15112,Vigée-Lebrun - Anselme Payen,Paris,48.838683941628375,2.3110422492027287,2025-08-20 15:00:00+00:00,13.0,13.0,11.0
15113,Arsonval - Falguière,Paris,48.84040040365445,2.313117867297474,2025-08-20 15:00:00+00:00,12.0,12.0,13.0
15114,Pasteur - Cotentin,Paris,48.8389284,2.316356,2025-08-20 15:00:00+00:00,6.0,6.0,5.0
15120,Colonel Pierre Avia,Paris,48.8296843300915,2.275342586850291,2025-08-20 15:00:00+00:00,23.0,23.0,5.0
15122,Place Charles Vallin,Paris,48.835523812041,2.3025986552238,2025-08-20 15:00:00+00:00,7.0,7.0,19.0
15123,Commerce - Letellier,Paris,48.84797660373612,2.2966245196598805,2025-08-20 15:00:00+00:00,33.0,33.0,11.0
15125,Parc Suzanne Lenglen,Paris,48.833250690537874,2.2765403240919118,2025-08-20 15:00:00+00:00,48.0,48.0,4.0
15127,Place Charles Michels,Paris,48.846401,2.28502,2025-08-20 15:00:00+00:00,33.0,33.0,2.0
15128,Cadix - Hameau,Paris,48.8340107632249,2.289516180753708,2025-08-20 15:00:00+00:00,3.0,3.0,34.0
15129,Hôpital Necker,Paris,48.84604349011845,2.313245013356209,2025-08-20 15:00:00+00:00,19.0,19.0,21.0
15131,Charles Lecocq - Lecourbe,Paris,48.84044,2.294867,2025-08-20 15:00:00+00:00,14.0,14.0,34.0
15132,Bargue -  Dutot,Paris,48.837884,2.308876,2025-08-20 15:00:00+00:00,4.0,4.0,17.0
15133,Saint Lambert - Blomet,Paris,48.83659148147257,2.293055690824985,2025-08-20 15:00:00+00:00,5.0,5.0,22.0
15201,Place Amédée Gordini - Lefebvre,Paris,48.83061737745,2.2920634208276,2025-08-20 15:00:00+00:00,2.0,2.0,36.0
15202,Bracion - Périphérique,Paris,48.826103771275,2.3004549373748,2025-08-20 15:00:00+00:00,7.0,7.0,23.0
15203,Porte de Versailles,Paris,48.832324016657,2.2875617349045,2025-08-20 15:00:00+00:00,7.0,7.0,21.0
15204,Square Bela Bartok,Paris,48.850984480382,2.2844360220351,2025-08-20 15:00:00+00:00,18.0,18.0,5.0
15311,Quai du Président Roosevelt - Pont Aval,Paris,48.834388367639,2.2656820714474,2025-08-20 15:00:00+00:00,23.0,23.0,7.0
16002,Pergolèse - Malakoff,Paris,48.87521088779225,2.284278161823749,2025-08-20 15:00:00+00:00,2.0,2.0,36.0
16003,André Maurois - Joseph et Marie Hackin,Paris,48.8778983,2.2789591,2025-08-20 15:00:00+00:00,10.0,10.0,20.0
16005,Raymond Poincaré - Place Victor Hugo,Paris,48.87030612437,2.2850745414202,2025-08-20 15:00:00+00:00,4.0,4.0,21.0
16006,Lauriston - Copernic,Paris,48.86926,2.289918,2025-08-20 15:00:00+00:00,1.0,1.0,18.0
16007,Longchamp - Place d'Iéna,Paris,48.864917233434,2.2926748171449,2025-08-20 15:00:00+00:00,8.0,8.0,2.0
16008,Galilée - Kléber,Paris,48.867411865714,2.2907813801148,2025-08-20 15:00:00+00:00,11.0,11.0,21.0
16009,Saint-Didier - Raymond Poincaré,Paris,48.86642312020962,2.285863497192411,2025-08-20 15:00:00+00:00,5.0,5.0,12.0
16010,Belles Feuilles - Place de Mexico,Paris,48.865804746474,2.2829206287861,2025-08-20 15:00:00+00:00,4.0,4.0,19.0
16011,Victor Hugo - La Pompe,Paris,48.86795222470859,2.28146318346262,2025-08-20 15:00:00+00:00,9.0,9.0,31.0
16012,Flandrin - Longchamp,Paris,48.86877849178477,2.274354539176829,2025-08-20 15:00:00+00:00,12.0,12.0,30.0
16013,Mairie du 16ème,Paris,48.863936848472,2.2765953093767166,2025-08-20 15:00:00+00:00,1.0,1.0,34.0
16014,Eylau - Trocadéro,Paris,48.863354122371,2.2864209115505,2025-08-20 15:00:00+00:00,11.0,11.0,13.0
16015,Bassano -  Iéna,Paris,48.86814451048208,2.296149600985935,2025-08-20 15:00:00+00:00,5.0,5.0,10.0
16017,Siam - La Pompe,Paris,48.861720329027264,2.275346568555312,2025-08-20 15:00:00+00:00,3.0,3.0,13.0
16018,Flandrin - Henri Martin,Paris,48.8643275,2.2724174,2025-08-20 15:00:00+00:00,2.0,2.0,16.0
16019,Porte de la Muette,Paris,48.86302317841182,2.2687188170157406,2025-08-20 15:00:00+00:00,8.0,8.0,28.0
16020,Place de la Porte de Passy,Paris,48.8573410954708,2.2644165538827115,2025-08-20 15:00:00+00:00,3.0,3.0,33.0
16021,François Ponsard - La Muette,Paris,48.8583666,2.2744515,2025-08-20 15:00:00+00:00,2.0,2.0,21.0
16022,Jean Bologne - Passy,Paris,48.85756688978447,2.280027395306772,2025-08-20 15:00:00+00:00,3.0,3.0,15.0
16023,Passy - Place du Costa Rica,Paris,48.8584893,2.2839655,2025-08-20 15:00:00+00:00,11.0,11.0,22.0
16024,Ranelagh - Maison de la Radio,Paris,48.85293603169479,2.280449643731117,2025-08-20 15:00:00+00:00,16.0,16.0,6.0
16025,Jean de la Fontaine - Boulainvilliers,Paris,48.85264791461651,2.27586641907692,2025-08-20 15:00:00+00:00,54.0,54.0,14.0
16026,Ranelagh - Mozart,Paris,48.8554439,2.2704418,2025-08-20 15:00:00+00:00,5.0,5.0,18.0
16027,Mozart - Jasmin,Paris,48.85286124871689,2.268483570651513,2025-08-20 15:00:00+00:00,3.0,3.0,58.0
16029,Maison de Radio - France,Paris,48.85132886434057,2.277785539627075,2025-08-20 15:00:00+00:00,41.0,41.0,4.0
16031,Vignes - Boulainvilliers,Paris,48.8563994839505,2.275240458548069,2025-08-20 15:00:00+00:00,3.0,3.0,18.0
16032,Eglise d'Auteuil,Paris,48.84749841771691,2.26848387135299,2025-08-20 15:00:00+00:00,2.0,2.0,19.0
16033,Marché d'Auteuil,Paris,48.84842761367387,2.265253821160005,2025-08-20 15:00:00+00:00,7.0,7.0,24.0
16034,Porte d'Auteuil,Paris,48.8479394142243,2.2608396783471107,2025-08-20 15:00:00+00:00,6.0,6.0,26.0
16036,Porte Molitor,Paris,48.84524763511433,2.2569015249609947,2025-08-20 15:00:00+00:00,30.0,30.0,29.0
16039,Exelmans - Versailles,Paris,48.84097491091973,2.264390252530575,2025-08-20 15:00:00+00:00,27.0,27.0,22.0
16040,Exelmans - Michel-Ange,Paris,48.84309486651855,2.2597770800669053,2025-08-20 15:00:00+00:00,17.0,17.0,15.0
16041,Versailles - Claude Terrasse,Paris,48.840219338074,2.263834191153,2025-08-20 15:00:00+00:00,12.0,12.0,34.0
16042,Murat - Porte de Saint-Cloud,Paris,48.83750862621299,2.2577651962637906,2025-08-20 15:00:00+00:00,17.0,17.0,19.0
16043,Place de Passy,Paris,48.85780291711202,2.277500546942199,2025-08-20 15:00:00+00:00,1.0,1.0,13.0
16044,Porte de Saint Cloud - Parc des Princes,Paris,48.838662757066,2.2525164484978,2025-08-20 15:00:00+00:00,11.0,11.0,21.0
16101,Malakoff - Place de la Porte Maillot,Paris,48.876733496638,2.2834577411413,2025-08-20 15:00:00+00:00,7.0,7.0,20.0
16102,Pergolèse - Marbeau,Paris,48.873568706869,2.2815125225299,2025-08-20 15:00:00+00:00,3.0,3.0,24.0
16103,Traktir - Foch,Paris,48.872755334614,2.2915497802487,2025-08-20 15:00:00+00:00,14.0,14.0,8.0
16104,Paul Valery - Victor Hugo,Paris,48.87137406080164,2.288712859153748,2025-08-20 15:00:00+00:00,3.0,3.0,32.0
16105,Crevaux - Bugeaud,Paris,48.87080942867,2.2811490076919,2025-08-20 15:00:00+00:00,2.0,2.0,28.0
16107,Benjamin Godard - Victor Hugo,Paris,48.865983,2.275725,2025-08-20 15:00:00+00:00,2.0,2.0,33.0
16108,Sablons - Georges Mandel,Paris,48.863875,2.28189,2025-08-20 15:00:00+00:00,4.0,4.0,34.0
16110,Octave Feuillet - Albéric Magnard,Paris,48.86106902949534,2.2730283066630363,2025-08-20 15:00:00+00:00,1.0,1.0,20.0
16111,Faustin Hélie - Desbordes-Valmore,Paris,48.859403,2.276522,2025-08-20 15:00:00+00:00,12.0,12.0,20.0
16112,Chernoviz - Raynouard,Paris,48.8569864146289,2.282173218142987,2025-08-20 15:00:00+00:00,1.0,1.0,36.0
16115,Raffet - Montmorency,Paris,48.85258670812,2.262925245615196,2025-08-20 15:00:00+00:00,8.0,8.0,33.0
16116,George Sand - Jean de La Fontaine,Paris,48.84986918764119,2.268257387525699,2025-08-20 15:00:00+00:00,17.0,17.0,12.0
16118,Michel-Ange - Parent de Rosan,Paris,48.84057992369012,2.2584119439125065,2025-08-20 15:00:00+00:00,7.0,7.0,18.0
16121,Jardin d'Acclimatation,Paris,48.87877224251047,2.270772233605385,2025-08-20 15:00:00+00:00,16.0,16.0,15.0
16122,Route de la Muette - Porte de Neuilly,Paris,48.8798926,2.2587671,2025-08-20 15:00:00+00:00,4.0,4.0,45.0
16123,Mahatma Gandhi,Paris,48.876356,2.264205,2025-08-20 15:00:00+00:00,16.0,16.0,10.0
