stationcode,name,arrdt,lat,lon,ts_hour,bikes_mean,bikes_median,docks_mean
11024,Mairie du 11ème,Paris,48.858925,2.3789759,2025-08-20 15:00:00+00:00,29.0,29.0,19.0
11025,Froment - Bréguet,Paris,48.8570414504784,2.37289470306807,2025-08-20 15:00:00+00:00,37.0,37.0,5.0
11026,Chemin Vert - Saint-Maur,Paris,48.86112461407359,2.381299026310444,2025-08-20 15:00:00+00:00,17.0,17.0,26.0
11027,Saint-Ambroise - Parmentier,Paris,48.862147844548,2.3772348091006,2025-08-20 15:00:00+00:00,3.0,3.0,34.0
11028,Guillaume Bertrand - République,Paris,48.863825174341,2.380906377155,2025-08-20 15:00:00+00:00,1.0,1.0,37.0
11029,Ménilmontant - Oberkampf,Paris,48.866617658681,2.3830134404158,2025-08-20 15:00:00+00:00,7.0,7.0,32.0
11030,Oberkampf - République,Paris,48.86531608707,2.37611478491,2025-08-20 15:00:00+00:00,14.0,14.0,10.0
11031,Jacquard - Ternaux,Paris,48.8646605,2.373162,2025-08-20 15:00:00+00:00,18.0,18.0,19.0
11032,Jean-Pierre Timbaud - Vaucouleurs,Paris,48.867937,2.377885,2025-08-20 15:00:00+00:00,9.0,9.0,36.0
11033,Bréguet - Sabin,Paris,48.856931678257,2.3706749462105,2025-08-20 15:00:00+00:00,26.0,26.0,4.0
11034,Parmentier - Fontaine au Roi,Paris,48.86787670551736,2.372705978671471,2025-08-20 15:00:00+00:00,12.0,12.0,36.0
11035,Parmentier - Abel Rabaud,Paris,48.86921273836114,2.371688821240712,2025-08-20 15:00:00+00:00,7.0,7.0,45.0
11036,Jules Ferry - Faubourg du Temple Paris,Paris,48.868397,2.3678933,2025-08-20 15:00:00+00:00,38.0,38.0,19.0
11037,Faubourg Du Temple - Republique,Paris,48.867872484749,2.3648982158072,2025-08-20 15:00:00+00:00,20.0,20.0,17.0
11038,Temple - Charlot,Paris,48.865709343796,2.3652737250724,2025-08-20 15:00:00+00:00,13.0,13.0,32.0
11039,Richard Lenoir - Jean-Pierre Timbaud,Paris,48.865804276686,2.3693370749669,2025-08-20 15:00:00+00:00,14.0,14.0,22.0
11040,Temple - Jean-Pierre Timbaud,Paris,48.86446597201,2.3660597205162,2025-08-20 15:00:00+00:00,24.0,24.0,12.0
11041,Square Saint-Ambroise,Paris,48.860934,2.375841,2025-08-20 15:00:00+00:00,12.0,12.0,30.0
11042,Grand Prieuré - Crussol,Paris,48.864660627935,2.3692265531829,2025-08-20 15:00:00+00:00,39.0,39.0,9.0
11043,Place Pasdeloup,Paris,48.862654215631,2.3670325062844,2025-08-20 15:00:00+00:00,16.0,16.0,5.0
11044,Square du Bataclan,Paris,48.8633762,2.3711327,2025-08-20 15:00:00+00:00,12.0,12.0,7.0
11046,Place de la République - Voltaire,Paris,48.866830968942,2.3654810339212,2025-08-20 15:00:00+00:00,16.0,16.0,2.0
11047,Amelot - Saint-Sébastien,Paris,48.861142162761,2.3677996181077,2025-08-20 15:00:00+00:00,21.0,21.0,7.0
11048,Place Mireille Havet,Paris,48.850533,2.383756,2025-08-20 15:00:00+00:00,31.0,31.0,9.0
11101,Charles Delescluze,Paris,48.85242200848887,2.380632497370243,2025-08-20 15:00:00+00:00,32.0,32.0,16.0
11102,Alexandre Dumas - Voltaire,Paris,48.852888670365,2.3891476408096,2025-08-20 15:00:00+00:00,19.0,19.0,39.0
11103,Pelée - Alphonse Baudin,Paris,48.8600265,2.3710541,2025-08-20 15:00:00+00:00,18.0,18.0,20.0
11104,Charonne - Robert et Sonia Delaunay,Paris,48.855907555969,2.3925706744194,2025-08-20 15:00:00+00:00,1.0,1.0,19.0
11105,Parmentier - République,Paris,48.8644954,2.3750124,2025-08-20 15:00:00+00:00,4.0,4.0,19.0
11107,Faidherbe - Dahomey,Paris,48.851358329771806,2.383823134795429,2025-08-20 15:00:00+00:00,41.0,41.0,3.0
11109,Pierre Levée - Fontaine Timbaud,Paris,48.86632723374305,2.37111635506153,2025-08-20 15:00:00+00:00,10.0,10.0,12.0
11110,Roquette - Folie Regnault,Paris,48.859246959155485,2.386553623578705,2025-08-20 15:00:00+00:00,11.0,11.0,40.0
11111,Léon Frot - Charonne,Paris,48.854963800335234,2.387217085372007,2025-08-20 15:00:00+00:00,6.0,6.0,11.0
11112,Jules Vallès - Charonne,Paris,48.854284379935,2.3847674578428,2025-08-20 15:00:00+00:00,9.0,9.0,13.0
11113,Richard Lenoir - Republique,Paris,48.8667175,2.3692541,2025-08-20 15:00:00+00:00,19.0,19.0,37.0
11114,Ledru-Rollin - Charonne,Paris,48.85345855607243,2.3772463581947094,2025-08-20 15:00:00+00:00,28.0,28.0,2.0
11115,Montreuil - Gonnet,Paris,48.850500564921,2.3890856287864,2025-08-20 15:00:00+00:00,3.0,3.0,20.0
11201,Faubourg St-Antoine - Place de la Nation,Paris,48.8487726,2.393606,2025-08-20 15:00:00+00:00,7.0,7.0,9.0
12001,Bastille - Biscornet,Paris,48.851355779579,2.369220033288,2025-08-20 15:00:00+00:00,55.0,55.0,4.0
12002,Lacuée - Lyon,Paris,48.849268481958,2.3704585433006,2025-08-20 15:00:00+00:00,5.0,5.0,11.0
12005,Crozatier - Faubourg Saint-Antoine,Paris,48.850440013405,2.378901366211,2025-08-20 15:00:00+00:00,22.0,22.0,18.0
12006,Gare de Lyon - Van Gogh,Paris,48.843839785643,2.3704450240357,2025-08-20 15:00:00+00:00,40.0,40.0,1.0
12007,Gare de Lyon - Chalon,Paris,48.845666194202,2.3741452395916,2025-08-20 15:00:00+00:00,45.0,45.0,0.0
12008,Hector Malot - Daumesnil,Paris,48.84693552991762,2.377087622880936,2025-08-20 15:00:00+00:00,31.0,31.0,20.0
12009,Charenton - Diderot,Paris,48.846171461187,2.3793068155646,2025-08-20 15:00:00+00:00,8.0,8.0,9.0
12010,Daumesnil - Picpus,Paris,48.8374688,2.401765,2025-08-20 15:00:00+00:00,18.0,18.0,2.0
12011,Charenton - Place du Col Bourgoin,Paris,48.844867319554,2.3825789350545,2025-08-20 15:00:00+00:00,26.0,26.0,8.0
12013,Montgallet - Reuilly,Paris,48.844291,2.3896481,2025-08-20 15:00:00+00:00,6.0,6.0,9.0
12015,Place de la Nation - Picpus,Paris,48.846821681548,2.4001130461693,2025-08-20 15:00:00+00:00,3.0,3.0,32.0
12016,Saint-Mande - Picpus,Paris,48.845127728278,2.4015686296482,2025-08-20 15:00:00+00:00,5.0,5.0,30.0
12017,Saint-Mandé - Docteur Arnold Netter,Paris,48.84462585769668,2.404946386814118,2025-08-20 15:00:00+00:00,6.0,6.0,45.0
12018,Saint-Mandé - Fabre d'Eglantine,Paris,48.8453579,2.3965022,2025-08-20 15:00:00+00:00,9.0,9.0,23.0
12019,Gare de Reuilly - Picpus,Paris,48.84267354116789,2.397294379770756,2025-08-20 15:00:00+00:00,9.0,9.0,17.0
12020,Cours de Vincennes - Soult,Paris,48.846918761569,2.4105220288038,2025-08-20 15:00:00+00:00,11.0,11.0,33.0
12022,Sahel - Général Michel Bizot,Paris,48.84087296479336,2.4044444784522057,2025-08-20 15:00:00+00:00,6.0,6.0,39.0
12024,Gare de Bercy,Paris,48.839794573906,2.3826066032052,2025-08-20 15:00:00+00:00,31.0,31.0,4.0
12026,Place Ginette Hamelin,Paris,48.837853,2.382064,2025-08-20 15:00:00+00:00,42.0,42.0,9.0
12027,Montgallet - Charenton,Paris,48.842647778701,2.3861649278137,2025-08-20 15:00:00+00:00,9.0,9.0,6.0
12028,Vivaldi - Antoine-Julien Hénard,Paris,48.84192366327655,2.389728979467376,2025-08-20 15:00:00+00:00,8.0,8.0,19.0
12031,Gabriel Lamé,Paris,48.8351212784276,2.385534569621086,2025-08-20 15:00:00+00:00,31.0,31.0,4.0
12032,Porte Dorée,Paris,48.8354337,2.4077132,2025-08-20 15:00:00+00:00,7.0,7.0,27.0
12033,François Truffaut - Saint Emilion,Paris,48.83372354344807,2.386601903271428,2025-08-20 15:00:00+00:00,63.0,63.0,2.0
12034,Pirogues de Bercy - Libourne,Paris,48.832308,2.38637,2025-08-20 15:00:00+00:00,46.0,46.0,3.0
12035,Madagascar - Meuniers,Paris,48.83460464474706,2.3970650508999825,2025-08-20 15:00:00+00:00,8.0,8.0,37.0
12036,Reuilly - Place Felix Eboue,Paris,48.84030274499962,2.394630398715453,2025-08-20 15:00:00+00:00,7.0,7.0,34.0
12037,Reuilly - Daumesnil,Paris,48.8395385,2.3972516,2025-08-20 15:00:00+00:00,7.0,7.0,29.0
12038,Picpus - Louis Braille,Paris,48.839988788912,2.4005256685521,2025-08-20 15:00:00+00:00,11.0,11.0,46.0
12039,Général Michel Bizot - Claude Decaen,Paris,48.83481262982544,2.400927788127704,2025-08-20 15:00:00+00:00,8.0,8.0,30.0
12040,Porte de Charenton,Paris,48.831240105856,2.3989107459784,2025-08-20 15:00:00+00:00,16.0,16.0,50.0
12041,Bois de Vincennes.,Saint-Mandé,48.8338064,2.4132221,2025-08-20 15:00:00+00:00,20.0,20.0,40.0
12043,Daumesnil - Hébrard,Paris,48.8429,2.38474,2025-08-20 15:00:00+00:00,3.0,3.0,37.0
12101,Charenton - Prague,Paris,48.848175129981,2.3763584494312,2025-08-20 15:00:00+00:00,19.0,19.0,5.0
12102,Bercy - Traversiére,Paris,48.846192642574,2.3703800886869,2025-08-20 15:00:00+00:00,26.0,26.0,3.0
12105,Bercy - Villot,Paris,48.841795009027,2.3767850184816,2025-08-20 15:00:00+00:00,27.0,27.0,5.0
12106,Gare de Lyon - Roland Barthes,Paris,48.84395729494058,2.3790882155299187,2025-08-20 15:00:00+00:00,35.0,35.0,33.0
12107,Diderot - Pierre Bourdan,Paris,48.847648620797,2.3902582749724,2025-08-20 15:00:00+00:00,8.0,8.0,11.0
12108,Bercy.,Paris,48.839966914994,2.3788625746965,2025-08-20 15:00:00+00:00,61.0,61.0,2.0
12109,Mairie du 12ème,Paris,48.840855311763,2.3875549435616,2025-08-20 15:00:00+00:00,15.0,15.0,14.0
12111,Claude Decaen - Cannebière,Paris,48.83761417037952,2.397253782195704,2025-08-20 15:00:00+00:00,5.0,5.0,39.0
12113,Cardinal Lavigerie,Paris,48.83293419369984,2.402636749399156,2025-08-20 15:00:00+00:00,30.0,30.0,16.0
12114,Victor Hugo - Jeanne Jugan,Paris,48.84394906403183,2.415081394834419,2025-08-20 15:00:00+00:00,5.0,5.0,23.0
12115,Porte de Vincennes,Paris,48.846454,2.415514,2025-08-20 15:00:00+00:00,8.0,8.0,25.0
12119,Dom-Pérignon - Gravelle,Paris,48.825481574435,2.409880310297,2025-08-20 15:00:00+00:00,2.0,2.0,47.0
12120,Lac Daumesnil - Saint-Maurice,Paris,48.82774555743318,2.418365478515625,2025-08-20 15:00:00+00:00,0.0,0.0,50.0
12122,Bois de Vincennes - Polygone,Paris,48.83544491617421,2.431421081436563,2025-08-20 15:00:00+00:00,6.0,6.0,45.0
12123,Château de Vincennes,Paris,48.84423193255657,2.439209537709179,2025-08-20 15:00:00+00:00,22.0,22.0,30.0
12125,Pyramide - Parc Floral,Paris,48.837442,2.440452,2025-08-20 15:00:00+00:00,19.0,19.0,29.0
12126,Gravelle - Route du Bac,Paris,48.824407,2.418455,2025-08-20 15:00:00+00:00,10.0,10.0,41.0
12127,Tremblay - Lac des Minimes,Paris,48.834131261494,2.4547516554594,2025-08-20 15:00:00+00:00,31.0,31.0,18.0
12128,Pyramide - Ecole du Breuil,Paris,48.82237977153955,2.4586871266365056,2025-08-20 15:00:00+00:00,9.0,9.0,25.0
12129,Bois de Vincennes - Porte Jaune,Paris,48.838751246689455,2.4605489149689674,2025-08-20 15:00:00+00:00,2.0,2.0,33.0
12150,Bastille - Quai de la Rapée,Paris,48.84682410855,2.3669364675879,2025-08-20 15:00:00+00:00,24.0,24.0,1.0
